2002.01.11 11:24 B D:\doe\media\images\stamps.jpg <-- ccat /home2/vasur stamps.jpg
102.03.25 13:54 B H:\doe1\media\images\u12.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u12.jpg
102.03.25 13:55 B H:\doe1\media\images\u1s1l1.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1s1l1.jpg
102.03.25 13:55 B H:\doe1\media\images\u1s1l1a.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1s1l1a.jpg
102.03.25 13:55 B H:\doe1\media\images\u1s3l2.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1s3l2.jpg
102.03.25 13:55 B H:\doe1\media\images\u1s3l2a.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1s3l2a.jpg
102.03.25 13:55 B H:\doe1\media\images\u1s3l2b.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1s3l2b.jpg
102.03.25 13:55 B H:\doe1\media\images\u2.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u2.gif
102.03.25 13:55 B H:\doe1\media\images\u2.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u2.jpg
102.03.25 13:55 B H:\doe1\media\images\u3.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u3.gif
102.03.25 13:55 B H:\doe1\media\images\u3.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u3.jpg
102.03.25 13:55 B H:\doe1\media\images\u4.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u4.gif
102.03.25 13:55 B H:\doe1\media\images\u4.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u4.jpg
102.03.25 13:55 B H:\doe1\media\images\u5.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u5.gif
102.03.25 13:55 B H:\doe1\media\images\u5.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u5.jpg
102.03.25 13:55 B H:\doe1\media\images\u6.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u6.gif
102.03.25 13:55 B H:\doe1\media\images\u6.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u6.jpg
102.03.25 13:55 B H:\doe1\media\images\u7.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u7.gif
102.03.25 13:55 B H:\doe1\media\images\u7.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u7.jpg
102.03.25 13:55 B H:\doe1\media\images\u8.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u8.gif
102.03.25 13:55 B H:\doe1\media\images\u8.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u8.jpg
102.03.25 13:55 B H:\doe1\media\images\u9.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u9.gif
102.03.25 13:55 B H:\doe1\media\images\u9.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u9.jpg
102.03.25 13:55 B H:\doe1\media\images\unitimage.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images unitimage.gif
